,type,social_media,categories,sales_performance,positive_impact,social_vs_sales
0,Electronics & Gadgets,"Facebook, Tik-Tok",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
1,Clothing & Apparel,"Facebook, Instagram, Twitter/X, Tik-Tok",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
2,Accessories,Tik-Tok,Home Appliances,"No, noticeable change",Agree,"Yes, high engagement leads to more sales"
3,Barber,Tik-Tok,Clothing & Apparel,"Yes, a slight increase",Agree,"Sometimes, but not always"
4,Clothing & Apparel,"Instagram, Twitter/X, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Agree,"Yes, high engagement leads to more sales"
5,Kitchen utensils,Tik-Tok,Home Appliances,"Yes, a slight increase",Agree,"Sometimes, but not always"
6,Electronics & Gadgets,Facebook,Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
7,Food & Beverages,Tik-Tok,Food & Beverages,"Yes, a significant increase",Strongly agree,No noticeable impact
8,Clothing & Apparel,"Instagram, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
9,Clothing & Apparel,"Facebook, Instagram, Tik-Tok, Snapchat, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
10,Construction,"Facebook, Instagram, Twitter/X, LinkedIn, WhatsApp, Telegram",Home Appliances,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
11,Clothing & Apparel,"Facebook, Instagram, Twitter/X, Tik-Tok, LinkedIn, Snapchat, WhatsApp, Telegram",Clothing & Apparel,"Yes, a significant increase",Agree,"Sometimes, but not always"
12,Clothing & Apparel,"Facebook, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
13,Food & Beverages,WhatsApp,Food & Beverages,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
