Timestamp, What is the name of your business? (Optional),What type of products or services does your business offer?,What is the size of your business?,How long has your business been operating?,Do you use social media platforms for advertising?,Which social media platforms do you advertise on? (Select all that apply),What is your monthly budget for social media advertisements?,How do you measure the effectiveness of your social media ads? (Select all that apply.),How do customers usually engage with your social media ads? (Select all that apply.),"How often do your social media posts receive customer engagement (likes, shares, comments)?",Do you use other forms of advertising besides social media?,"If yes, which traditional advertising methods do you use? (Select all that apply.)",What challenges do you face in using social media advertising? (Select all that apply.),What are your primary sales channels? (Select all that apply.),Have you noticed any changes in sales performance since using social media?,Do you believe social media has a positive impact on your sales performance?,Have you noticed any correlation between social media engagement and sales performance?,Are there any opportunities you see for improving your social media advertising and sales efforts?,How do you handle customer service and support through social media?
04/06/2025 16:01:23,Rhodalicious Interior ,Electronics & Gadgets,Small (1-10 employees),1-3 years,Yes,"Facebook, Tik-Tok","Less than ₦100,000","Sales increase, Engagement (likes, shares, comments), Customer inquiries/messages","Liking/sharing/commenting, Directly making a purchase",Frequently,Yes,Flyers/posters,Lack of time or resources to manage and maintain campaigns,"Online (e-commerce website, social media stores), Phone orders","Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales",Yes,Direct messages
04/06/2025 16:39:15,,Clothing & Apparel,Medium (11-50 employees),Less than 1 year,Yes,"Facebook, Instagram, Twitter/X, Tik-Tok","₦100,000 - ₦500,000","Sales increase, Customer inquiries/messages","Clicking on the ad, Directly making a purchase",Frequently,Yes,Billboards,"High advertising costs, Difficulty targeting the right audience","Online (e-commerce website, social media stores), Phone orders","Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales",Yes,Direct messages
04/06/2025 16:39:29,Accessories ,Accessories ,Small (1-10 employees),Less than 1 year,Yes,Tik-Tok,"Less than ₦100,000",Sales increase,Liking/sharing/commenting,Frequently,Yes,"Billboards, Flyers/posters",Low engagement rates,"Online (e-commerce website, social media stores)","No, noticeable change",Agree,"Yes, high engagement leads to more sales",Yes,Comments and replies
04/06/2025 16:45:01,,Barber ,Small (1-10 employees),4-6 years,Yes,Tik-Tok,"Less than ₦100,000","Engagement (likes, shares, comments)",Directly making a purchase,Always,Yes,Flyers/posters,Difficulty targeting the right audience,"Online (e-commerce website, social media stores)","Yes, a slight increase",Agree,"Sometimes, but not always",Yes,Comments and replies
04/06/2025 16:51:34,3hays couture,Clothing & Apparel,Small (1-10 employees),4-6 years,Yes,"Instagram, Twitter/X, WhatsApp","₦500,000 - ₦1,000,000","Sales increase, Engagement (likes, shares, comments), Customer inquiries/messages","Clicking on the ad, Liking/sharing/commenting",Frequently,Yes,Billboards,"High advertising costs, Lack of time or resources to manage and maintain campaigns, Poor customer support from ad platforms","Offline (physical store, events), Phone orders","Yes, a significant increase",Agree,"Yes, high engagement leads to more sales",,Comments and replies
04/06/2025 16:53:20,Looking Good Cosmetics store,Cosmetics and deodorant ,Small (1-10 employees),Less than 1 year,No,LinkedIn,"Less than ₦100,000",Customer inquiries/messages,Directly making a purchase,Always,No,Flyers/posters,Difficulty targeting the right audience,"Physical store,phone orders,online","Yes, a slight increase",Agree,"Yes, high engagement leads to more sales",No,Direct messages
04/06/2025 16:53:40,Horlarmie interiors ,Kitchen utensils ,Small (1-10 employees),1-3 years,Yes,Tik-Tok,"Less than ₦100,000","Engagement (likes, shares, comments)",Clicking on the ad,Frequently,Yes,Flyers/posters,"Low return on investment, ","Online (e-commerce website, social media stores)","Yes, a slight increase",Agree,"Sometimes, but not always",Yes many opportunity for people to know me more and to make my business grow ,Direct messages
04/06/2025 16:55:09,B tech,Electronics & Gadgets,Small (1-10 employees),Less than 1 year,Yes,Facebook,"Less than ₦100,000","Engagement (likes, shares, comments)",Clicking on the ad,Occasionally,Yes,Billboards,Low engagement rates,Phone orders,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales",,Direct messages
04/06/2025 17:03:08,Ejan’s,Food & Beverages,Small (1-10 employees),Less than 1 year,Yes,Tik-Tok,"₦100,000 - ₦500,000","Engagement (likes, shares, comments)",Visiting the website,Always,Yes,Flyers/posters,Difficulty targeting the right audience,"Online (e-commerce website, social media stores)","Yes, a significant increase",Strongly agree,No noticeable impact,To meet my target audience ,Direct messages
04/06/2025 17:08:38,Jemim luxuries,Clothing & Apparel,Small (1-10 employees),1-3 years,Yes,"Instagram, Tik-Tok, WhatsApp","Less than ₦100,000",Sales increase,Liking/sharing/commenting,Rarely,No,Flyers/posters,Poor customer support from ad platforms,Phone orders,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales",,Direct messages
